,team,Name,b_o,pj_vO
0,MIA,Miguel Rojas,1,9.76
1,MIA,Jesus Aguilar,2,11.9
2,MIA,Corey Dickerson,3,7.26
3,MIA,Adam Duvall,4,8.98
4,MIA,Jon Berti,5,5.95
5,MIA,Isan Diaz,6,8.38
6,MIA,Sandy Leon,7,2.75
7,MIA,Magneuris Sierra,8,1.96
8,ARI,Pavin Smith,1,7.46
9,ARI,Josh Rojas,2,7.37
10,ARI,Asdrubal Cabrera,3,8.42
11,ARI,David Peralta,4,8.77
12,ARI,Stephen Vogt,5,6.2
13,ARI,Eduardo Escobar,6,7.88
14,ARI,Nick Ahmed,7,4.65
15,ARI,Daulton Varsho,8,2.88
16,SEA,J.P. Crawford,1,4.35
17,SEA,Mitch Haniger,2,8.42
18,SEA,Kyle Lewis,3,5.59
19,SEA,Kyle Seager,4,6.75
20,SEA,Ty France,5,5.47
21,SEA,Tom Murphy,6,3.66
22,SEA,Dylan Moore,7,4.39
23,SEA,Evan White,8,3.27
24,LAD,Mookie Betts,1,7.91
25,LAD,Corey Seager,2,7.04
26,LAD,Justin Turner,3,7.78
27,LAD,Max Muncy,4,7.77
28,LAD,Will Smith,5,6.22
29,LAD,Chris Taylor,6,8.32
30,LAD,Matt Beaty,7,3.85
31,LAD,Gavin Lux,8,3.9
0,ARI,Matt Peacock,SP,2.77
1,SEA,Justin Dunn,SP,12.69
2,LAD,Julio Urias,SP,22.62
